Model,Test Recall,Test Precision,Test F1,Test ROC-AUC,Brier Score,CV Mean Recall,CV Std Recall,CV Mean ROC-AUC,CV Std ROC-AUC,Optimal Threshold,Thr-Optimized Recall,Thr-Optimized Precision
Gradient Boosting,0.8852,0.871,0.878,0.9607,0.0764,0.8533877551020408,0.045922557631936825,0.93633505649748,0.01171207700621337,0.44941567487291767,0.9016393442622951,0.873015873015873
AdaBoost,0.9016,0.873,0.8871,0.9606,0.1678,0.8533877551020408,0.04407135178676964,0.9325610248329899,0.017298592203578017,0.5021608748611013,0.9016393442622951,0.8870967741935484
